Year,Month,Day,Hour,TROP (Tg),NAME (Tg),sigma TROP (Tg)
2019,7,3,2,0.381,0.303,0.107
2019,7,3,3,0.076,0.112,0.024
2019,7,3,5,0.003,0.003,0.001
2019,7,3,7,0.002,0.001,0.001
2019,7,3,9,0.001,0,0
2019,7,3,10,0.001,0.006,0
2019,7,3,12,0.006,0.009,0.002
2019,7,3,14,0.054,0.046,0.018
2019,7,3,15,0.109,0.115,0.034
2019,7,3,17,0.222,0.219,0.067
2019,7,3,19,0.433,0.415,0.122
2019,7,3,20,0.564,0.555,0.156
2019,7,3,22,0.462,0.432,0.132
2019,7,4,0,0.478,0.329,0.131
2019,7,4,1,0.368,0.273,0.107
2019,7,4,3,0.061,0.13,0.019
2019,7,4,5,0.011,0.018,0.004
2019,7,4,7,0.003,0.005,0.001
2019,7,4,8,0.002,0.005,0.001
2019,7,4,10,0.011,0.016,0.003
2019,7,4,12,0.021,0.022,0.007
2019,7,4,13,0.05,0.057,0.017
2019,7,4,15,0.09,0.113,0.028
2019,7,4,17,0.289,0.262,0.086
2019,7,4,18,0.386,0.347,0.109
2019,7,4,20,0.456,0.457,0.128
2019,7,4,22,0.479,0.396,0.137
2019,7,4,23,0.476,0.298,0.135
2019,7,5,1,0.321,0.238,0.093
2019,7,5,3,0.055,0.148,0.018
2019,7,5,5,0.021,0.055,0.007
2019,7,5,6,0.011,0.019,0.004
2019,7,5,8,0.001,0.006,0
2019,7,5,10,0.001,0.01,0
2019,7,5,10,0.001,0.01,0
2019,7,5,11,0.017,0.022,0.005
2019,7,5,13,0.057,0.069,0.019
2019,7,5,15,0.22,0.183,0.065
2019,7,5,16,0.398,0.288,0.117
2019,7,5,18,0.439,0.311,0.129
2019,7,5,20,0.468,0.355,0.135
2019,7,5,21,0.482,0.346,0.137
2019,7,5,23,0.382,0.246,0.109
2019,7,6,1,0.222,0.193,0.066
2019,7,6,3,0.105,0.168,0.034
2019,7,6,4,0.025,0.078,0.008
2019,7,6,6,0.015,0.032,0.005
2019,7,6,8,0.001,0.008,0
2019,7,6,9,0.036,0.013,0.012
2019,7,6,11,0.048,0.026,0.015
2019,7,6,13,0.084,0.072,0.026
2019,7,6,14,0.232,0.195,0.069
2019,7,6,16,0.315,0.258,0.094
2019,7,6,18,0.353,0.274,0.105
2019,7,6,19,0.446,0.304,0.129
2019,7,6,21,0.464,0.295,0.132
2019,7,6,23,0.313,0.177,0.09
2019,7,7,1,0.154,0.166,0.047
2019,7,7,2,0.103,0.164,0.032
2019,7,7,4,0.021,0.082,0.007
2019,7,7,6,0.013,0.043,0.004
2019,7,7,7,0.002,0.016,0.001
2019,7,7,9,0.036,0.019,0.013
2019,7,7,11,0.052,0.036,0.016
2019,7,7,12,0.091,0.063,0.027
2019,7,7,14,0.167,0.124,0.05
2019,7,7,16,0.27,0.181,0.085
2019,7,7,17,0.276,0.236,0.085
2019,7,7,19,0.324,0.248,0.097
2019,7,7,21,0.411,0.251,0.119
2019,7,7,23,0.304,0.163,0.087
2019,7,8,0,0.124,0.149,0.04
2019,7,8,2,0.089,0.136,0.028
2019,7,8,4,0.023,0.081,0.008
2019,7,8,5,0.017,0.035,0.005
2019,7,8,7,0.014,0.017,0.005
2019,7,8,9,0.033,0.022,0.011
2019,7,8,10,0.043,0.029,0.013
2019,7,8,12,0.073,0.045,0.022
2019,7,8,14,0.149,0.092,0.045
2019,7,8,15,0.203,0.152,0.064
2019,7,8,17,0.235,0.204,0.074
2019,7,8,19,0.227,0.201,0.07
2019,7,8,21,0.323,0.187,0.096
2019,7,8,22,0.297,0.157,0.084
2019,7,9,0,0.1,0.12,0.032
2019,7,9,2,0.076,0.11,0.025
2019,7,9,3,0.05,0.089,0.016
2019,7,9,5,0.028,0.038,0.009
2019,7,9,7,0.032,0.022,0.01
2019,7,9,8,0.032,0.019,0.01
2019,7,9,10,0.029,0.024,0.01
2019,7,9,12,0.072,0.039,0.025
2019,7,9,13,0.106,0.08,0.035
2019,7,9,15,0.208,0.148,0.067
2019,7,9,17,0.252,0.199,0.079
2019,7,9,19,0.184,0.163,0.057
2019,7,9,20,0.138,0.14,0.045
2019,7,9,22,0.29,0.134,0.082
2019,7,10,0,0.219,0.111,0.062
2019,7,10,1,0.066,0.087,0.021
2019,7,10,3,0.059,0.078,0.019
2019,7,10,5,0.038,0.042,0.012
2019,7,10,6,0.039,0.026,0.012
2019,7,10,8,0.052,0.027,0.017
2019,7,10,10,0.055,0.029,0.018
2019,7,10,11,0.073,0.04,0.025
2019,7,10,13,0.126,0.094,0.042
2019,7,10,15,0.189,0.144,0.061
2019,7,10,16,0.231,0.192,0.074
2019,7,10,18,0.011,0.002,0.004
2019,7,10,20,0.103,0.114,0.034
2019,7,10,22,0.197,0.098,0.055
2019,7,10,23,0.239,0.106,0.067
2019,7,11,1,0.126,0.082,0.037
2019,7,11,3,0.017,0.065,0.006
2019,7,11,4,0.011,0.038,0.004
2019,7,11,6,0.012,0.015,0.004
2019,7,11,8,0.032,0.019,0.011
2019,7,11,9,0.05,0.025,0.016
2019,7,11,11,0.093,0.052,0.032
2019,7,11,13,0.142,0.101,0.047
2019,7,11,14,0.179,0.133,0.057
2019,7,11,16,0.204,0.16,0.066
2019,7,11,18,0.138,0.118,0.043
2019,7,11,20,0.084,0.09,0.027
2019,7,11,21,0.129,0.063,0.037
2019,7,11,23,0.199,0.068,0.056
2019,7,12,1,0.14,0.072,0.04
2019,7,12,2,0.05,0.061,0.015
2019,7,12,4,0.002,0.026,0.001
2019,7,12,6,0.002,0.004,0.001
2019,7,12,7,0.02,0.003,0.007
2019,7,12,9,0.041,0.018,0.014
2019,7,12,11,0.076,0.057,0.026
2019,7,12,12,0.147,0.096,0.049
2019,7,12,14,0.161,0.107,0.053
2019,7,12,16,0.17,0.126,0.055
2019,7,12,18,0.134,0.1,0.042
2019,7,12,19,0.094,0.082,0.03
2019,7,12,21,0.119,0.045,0.036
2019,7,12,23,0.129,0.034,0.037
2019,7,13,0,0.097,0.052,0.029
2019,7,13,2,0.12,0.056,0.035
2019,7,13,4,0.008,0.022,0.003
2019,7,13,5,0.019,0.002,0.006
2019,7,13,7,0.028,0.006,0.009
2019,7,13,9,0.038,0.012,0.013
2019,7,13,10,0.088,0.047,0.031
2019,7,13,12,0.108,0.072,0.037
2019,7,13,14,0.115,0.096,0.04
2019,7,13,16,0.123,0.097,0.041
2019,7,13,17,0.121,0.09,0.039
2019,7,13,19,0.098,0.077,0.031
2019,7,13,22,0.092,0.024,0.028
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
